organism,Limb.width,Limb.length,Observer
Panthera Tigris,3.45,21.2,Kelvin
Passer virginanus,0.04,102,Sally
Corvus splendens,2.42,0.6,Victoria X
Passer virginanus,0.02,9,Sally
Felis domesticus,2.63,10,Amy Y
Psittacula eupatria,2.56,34,Amy Y
lxodes scapularis,0.52,1.4,Victoria X
Panthera Tigris,1.24,12,Kelvin
Oryctolagus cuniculus,8.54,23,Wuris
Camelus dromedaries,9.67,34,Eris L
Oryctolagus cuniculus,1.24,26,Ella
Felis domesticus,1.58,0.6,Emma
Passer virginanus,0.2,34,Jayce M
Sus scrofa,3.45,21,Oliver R
lxodes scapularis,0.01,0.2,Victoria X
Corvus splendens,5.67,2.5,Oliver R
Macaca mulatta,1.50 ,0.6,Kelvin
Felis domesticus,3.72,0.2,Ching
Camelus dromedaries,2.33,23,Cindy
Psittacula eupatria,3.12,23,Wuris
lxodes scapularis,8.34,21.2,Ebby
Passer virginanus,0.57,23,Jayce M
Psittacula eupatria,2.25,21,Cindy
Sus scrofa,0.6 ,9,Victoria X
Sus scrofa,2.35,2.5,Victoria X
Psittacula eupatria,5.6,9,Wuris
Corvus splendens,1.23,9,Oliver R
Camelus dromedaries,3.21,21,Wuris
Psittacula eupatria,1.32,9,Lydia
Homo sapiens,4.71,35,Kelvin
Oryctolagus cuniculus,7.34,0.6,Wuris
Homo sapiens,3.28,38,Lydia
Acinonyx jubatus,4.78,9,Jayce M
Sus scrofa,4.56,0.6,Oliver R
Rattus rattus,3.6,23,Emma
Oryctolagus cuniculus,1.23,2.5,Wuris
Oryctolagus cuniculus,0.71,9,Cindy
Acinonyx jubatus,3.45,9,Jayce M
Felis domesticus,7.36,1.2,ching
Rattus rattus,0.98,9,Emma
lxodes scapularis,0.54,12,Oliver R
Macaca mulatta,3.67,2.5,Wuris
Camelus dromedaries,1.44,9,Cindy
Rattus rattus,8.9,0.6,Ella
Rattus rattus,1.5,21,Abby
Passer virginanus,3.56,35,Oliver R
Acinonyx jubatus,1.56,23,Oliver R
Camelus dromedaries,0.31,23,Cindy
lxodes scapularis,2.31,5.1,Hans P
